Region and Province,Population,Land area (sq. km.) a1/a2/a3,Density (persons/ sq km)
NCR,"14,001,751",619.54,"21,765"
 Abra,"246,948","4,199.72",60
  Apayao ,"126,587","4,502.33",28
  Benguet i,"473,190","2,769.08",166
  Ifugao,"208,668","2,618.01",79
  Kalinga  ,"235,391","3,282.04",70
  Mountain Province,"149,775","2,389.43",66
  Ilocos Norte,"618,850","3,418.75",178
  Ilocos Sur,"709,991","2,596.00",272
  La Union,"825,072","1,499.28",548
  Pangasinan,"3,188,540","5,450.59",580
  Batanes,"18,937",203.22,93
  Cagayan,"1,284,676","9,398.07",135
  Isabela,"1,733,048","13,102.05",130
  Nueva Vizcaya ,"530,106","4,813.88",103
  Quirino,"210,841","2,319.66",88
  Aurora ,"240,824","3,133.40",75
  Bataan,"891,440","1,372.98",622
  Bulacan ,"3,876,806","2,783.69","1,332"
  Nueva Ecija,"2,395,816","5,689.69",406
  Pampanga i,"2,586,446","2,001.22","1,218"
  Tarlac,"1,568,162","3,046.49",494
  Zambales i,"681,225","3,630.35",179
  Batangas,"2,994,795","3,115.05",934
  Cavite,"4,573,884","1,526.28","2,847"
  Laguna,"3,687,345","1,928.23","1,754"
  Quezon i,"1,980,338","8,743.84",223
  Rizal ,"3,416,541","1,182.65","2,816"
  Marinduque,"226,522",952.58,251
  Occidental Mindoro,"511,417","5,851.09",90
  Oriental Mindoro,"919,504","4,238.38",214
  Palawan i,"968,795","14,649.73",64
  Romblon,"302,824","1,533.45",201
  Albay,"1,379,398","2,574.91",534
  Camarines Norte,"604,666","2,277.93",276
  Camarines Sur,"2,063,314","5,511.90",375
  Catanduanes,"261,169","1,492.16",182
  Masbate,"910,813","4,138.56",220
  Sorsogon,"845,066","2,119.01",391
  Aklan,"634,422","1,760.30",350
  Antique,"643,173","2,730.67",224
  Capiz,"835,098","2,594.64",310
  Guimaras  ,"192,874",611.87,307
  Iloilo i,"2,082,616","4,997.64",411
"Negros Occidental 1,i","2,680,477","7,844.12",334
Negros Island Region (NIR) 6,"4,904,944",…,…
Negros Oriental 8,"1,492,038",…,…
Siquijor 8,"107,642",…,…
  Bohol,"1,412,726","4,772.52",292
  Cebu i,"3,400,522","4,943.72",673
Negros Oriental 1,…,"5,420.57",264
  Siquijor,…,337.49,306
  Biliran  ,"184,095",536.01,335
  Eastern Samar,"472,683","4,617.16",103
  Leyte i,"1,823,458","6,335.44",280
  Northern Samar,"645,789","3,694.96",173
  Samar (Western Samar),"806,179","6,048.03",131
  Southern Leyte,"434,372","1,801.46",238
  Zamboanga del Norte,"1,067,067","7,300.11",143
  Zamboanga del Sur i,"1,045,126","4,484.21",234
  Zamboanga Sibugay,"661,498","3,481.28",192
  Bukidnon,"1,601,902","10,498.59",147
  Camiguin,"94,892",241.44,384
  Lanao del Norte i,"761,725","3,354.16",216
  Misamis Occidental,"621,993","2,006.63",308
  Misamis Oriental i,"988,065","3,131.52",306
Davao De Oro (Compostela Valley) 2,"783,775","4,560.09",168
  Davao del Norte,"1,143,931","3,422.61",329
  Davao del Sur i,"705,129","2,163.98",314
  Davao Occidental,"317,598","2,163.45",147
  Davao Oriental,"590,042","5,679.64",101
  Cotabato (North Cotabato)     ,"1,286,142","9,317.30",160
  Sarangani,"580,915","3,642.16",153
  South Cotabato i,"1,010,009","3,793.90",257
  Sultan Kudarat,"863,651","5,363.86",159
  Agusan del Norte i,"404,100","2,611.63",148
  Agusan del Sur,"740,531","9,989.52",74
  Dinagat Islands,"120,533",817.47,157
  Surigao del Norte,"565,644","1,952.62",274
  Surigao del Sur,"648,858","4,932.70",130
  Basilan (excluding City of Isabela),"541,947","3,453.42",123
  Lanao del Sur,"1,368,137","15,055.51",79
  Maguindanao (excluding Cotabato City),…,"9,968.31",135
Maguindanao Del Norte 9,"1,124,811",…,…
Maguindanao Del Sur 9,"813,243",…,…
  Sulu,"1,146,097","4,547.16",220
  Tawi-Tawi,"482,645","3,626.55",121
