,model1_score,model1_rank,model2_score,model2_rank,model3_score,model3_rank,cluster,downtime_ratio
Boni Serrano,8.729602579509189,1.0,14.145667098601777,1.0,0.699025062783304,1.0,A_high_freq,0.5828106085616815
Caloocan Sports Complex,0.0,40.0,0.5210155496372811,43.0,0.6460360282786294,2.0,B_candidate,0.28619017292901583
"Near Katipunan Ave., Quezon City",0.0,40.0,0.7913858801898038,24.0,0.6156592719875364,3.0,A_high_freq,0.2844383734370075
Bradco Ave. cor Macapagal,0.0,40.0,0.5610823438795052,39.0,0.5739780954451634,4.0,A_high_freq,0.29268968063503786
3S Center Bagbaguin,0.0,40.0,0.3414207951666423,50.0,0.5448139346981232,5.0,B_candidate,0.28774579512577847
Aurora Boulevard (Tramo) - Andrews Avenue,0.0,40.0,0.2083259008912315,55.0,0.5326584580609147,6.0,B_candidate,0.28651603142843196
Malabon Action Center,0.0,40.0,1.024862643495056,15.0,0.532183627709222,7.0,B_candidate,0.28634575217370184
Barangay Tambo - Quirino Avenue,0.0,40.0,0.19738019512743354,58.0,0.519427693053469,8.0,B_candidate,0.28640327373702923
Samal Municipal Hall,0.0,40.0,1.0778225986567507,13.0,0.511429541119978,9.0,A_high_freq,0.24694080035277255
World Trade Center,0.0,40.0,0.0,67.0,0.5000210294951608,10.0,B_candidate,0.28800936269815935
Ortigas Avenue-Roosevelt Intersection,0.0,40.0,0.11452426891628427,63.0,0.497820263850106,11.0,B_candidate,0.2857488507137672
Pateros Bridge,0.0,40.0,0.6330827800227503,34.0,0.49712539306657844,12.0,B_candidate,0.29294747312082603
Barangay Tanza 2 Hall,0.0,40.0,0.8285498190197265,22.0,0.4941386801751209,13.0,B_candidate,0.28766006426550284
Barangay San Rafael Hall,0.0,40.0,0.5180520681483337,45.0,0.4924838833956235,14.0,B_candidate,0.28731594649215664
Near Sucat Interchange/Exit,0.0,40.0,0.6364004939331069,33.0,0.49116867479568943,15.0,A_high_freq,0.3306698234191575
Kalayaan Avenue  - South Avenue Intersection,1.1630470762871101,9.0,0.9991891482169911,17.0,0.4871859627775505,16.0,B_candidate,0.29509582863585115
Ayala Ave.,0.0,40.0,1.29354861548109,8.0,0.4867705739567407,17.0,A_high_freq,0.4715703260355961
Gen. Luna St. corner Gov. Pascual Ave.,0.0,40.0,0.6036968447790119,36.0,0.4817707907507975,18.0,B_candidate,0.29438594137769136
Near Puregold Tayuman,0.0,40.0,0.7281975259847789,27.0,0.4801844176351387,19.0,A_high_freq,0.4853962515459994
San Sebastian Residences,0.0,40.0,0.6087611498277613,35.0,0.4771264996781711,20.0,A_high_freq,0.482729089351984
Mandaluyong Elementary School,0.0,40.0,0.5554954942745275,41.0,0.47526841856845,21.0,B_candidate,0.2890812185223216
Barangay Buli - Concepcion Street,0.0,40.0,0.16732801532440175,60.0,0.47129644419817485,22.0,B_candidate,0.2840101654478502
Sto. Rosario Bridge,0.0,40.0,0.51902654291489,44.0,0.46885862499372905,23.0,B_candidate,0.2910827117677799
J.P. Rizal Avenue corner Pertierra,0.0,40.0,0.18336683067148493,59.0,0.4679356901077472,24.0,B_candidate,0.2842428975885971
Sta. Ana Hospital,1.510034140260729,6.0,0.7849906039756501,26.0,0.46554700584310277,25.0,A_high_freq,0.4852983157293749
Valenzuela CENRO (ARCA North),0.0,40.0,0.2873270233206579,54.0,0.46417924805950045,26.0,B_candidate,0.29305488768290167
Unnamed (DNVBA1576 → AL739RG7),0.0,40.0,0.3135383910441881,51.0,0.4640437662897011,27.0,B_candidate,0.28856536829926727
Anda Circle,0.0,40.0,0.6879318390930764,32.0,0.46399974169065983,28.0,A_high_freq,0.4852521408182683
San Juan Mini Park,0.0,40.0,0.19933158024090228,57.0,0.4616024528984067,29.0,B_candidate,0.28819360748204215
Santa Clara - Pasay City General Hospital,0.0,40.0,0.9202437697125463,19.0,0.4599275376607334,30.0,B_candidate,0.2841477491342824
Barangay Fortune - Santan Street,0.0,40.0,0.2034340399862776,56.0,0.458839469017489,31.0,B_candidate,0.2859526029144792
Barangay San Antonio - Parañaque-Sucat Road (Shopwise),0.0,40.0,0.11634117037194153,62.0,0.458689981533904,32.0,B_candidate,0.28527803772841454
Barangay Tunasan - Maharlika Highway (SM Center Muntinlupa),0.0,40.0,0.37105885073300093,49.0,0.457804492060214,33.0,B_candidate,0.28601549475335886
3S Center Ugong,0.0,40.0,0.7136218141806544,30.0,0.45270642719817505,34.0,B_candidate,0.29649279308887744
Marikina Sports Complex,0.0,40.0,0.5947340922227345,37.0,0.45183361646839615,35.0,B_candidate,0.3009110021023126
Along Shaw Blvd.,0.0,40.0,0.7106063151624733,31.0,0.4504417572865451,36.0,A_high_freq,0.33175728920409775
J.P. Rizal Avenue corner Camia,0.0,40.0,0.06311342080342344,66.0,0.4485589241846251,37.0,B_candidate,0.2852322738386308
Makati Avenue - Buendia Avenue Intersection,0.0,40.0,0.08158081438420016,65.0,0.44692581624603583,38.0,B_candidate,0.2854277747884362
Makati Avenue  - Antonio Arnaiz Avenue Intersection,0.0,40.0,0.08286983746602924,64.0,0.44431671904563363,39.0,B_candidate,0.2847042761714369
C3 Road (5th Avenue) - Rizal Avenue Extension,0.0,40.0,0.5539111923255946,42.0,0.4406496850405829,40.0,B_candidate,0.2952304571401614
3S Center Paso De Blas,0.0,40.0,0.2969047907386048,53.0,0.43667827098437095,41.0,B_candidate,0.28655660377358494
Rajah Sulayman Park,0.0,40.0,0.8837980842511961,20.0,0.43496058890411626,42.0,A_high_freq,0.47355630135400995
Mandaluyong City,0.0,40.0,0.4714173295767516,46.0,0.4345157634050833,43.0,A_high_freq,0.31854072963518243
Bataan Tourism Park,0.0,40.0,0.9737812801244906,18.0,0.43444635406973037,44.0,A_high_freq,0.3305406721870433
"Monumento, Caloocan",0.0,40.0,0.308518396716684,52.0,0.43049689548408016,45.0,A_high_freq,0.28173506272591964
"Bo. Luz Barangay Hall, Limay",0.0,40.0,0.7904163141719086,25.0,0.42896881596197756,46.0,A_high_freq,0.33206775700934577
Old Wack Wack Road corner Shaw Boulevard,0.0,40.0,0.15093803837030934,61.0,0.4184758642455409,47.0,B_candidate,0.28313431362873775
"Lamao, Limay",0.0,40.0,0.8252513072044938,23.0,0.41464117352554747,48.0,A_high_freq,0.3318854886475815
Demo Unit 4,4.473899434628975,3.0,4.437215094852876,4.0,0.38906372446313287,49.0,A_high_freq,0.46101295641931683
ASMPH,0.0,40.0,1.1812110134112042,11.0,0.38849670031476635,50.0,A_high_freq,0.18958887902987287
Brgy. Ambassador,2.9411362382790953,4.0,4.680188931889108,3.0,0.3867063250679265,51.0,C_hourly,0.08742415885273025
Illumina,0.0,40.0,1.2897932591618768,9.0,0.36719939694984044,52.0,C_hourly,0.033211105290728016
North Caloocan Nova Romania - Alora (download airgradient mobile app for realtime data),0.5484370037056643,11.0,0.5829006675288328,38.0,0.3633869777282509,53.0,C_hourly,0.0056246691371094615
Manila Observatory,0.0,40.0,1.19009420535525,10.0,0.34406558662600295,54.0,C_hourly,0.016174613673260785
STRC,0.0,40.0,0.7265751047970205,28.0,0.3361218488194171,55.0,C_hourly,0.037135278514588865
MNHS AQ Station,1.219990171637861,7.0,1.8509568062963473,6.0,0.3347250835035814,56.0,B_candidate,0.33303011442524055
Tivoli,0.0,40.0,0.8600625058105418,21.0,0.31872549432422365,57.0,C_hourly,0.02652270860227668
President Roxas,0.0,40.0,1.1159396028303408,12.0,0.31422515120425604,58.0,C_hourly,0.025140977443609103
Valle1,0.0,40.0,0.7188551620215712,29.0,0.29638874789606934,59.0,C_hourly,0.03710054559625875
