,model1_risk_score,downtime_ratio,max_continuous_downtime_hours
Boni Serrano,8.729602579509189,0.5828106085616815,735.5386666666667
"Brgy. Benedicto, Jaro, Iloilo",7.4905391544773465,0.060359436318230486,690.0
Demo Unit 4,4.473899434628975,0.46101295641931683,328.238
Brgy. Ambassador,2.9411362382790953,0.08742415885273025,231.0
Tagaytay (Neogan),2.7664289133556723,0.09095260890378165,213.0
Sta. Ana Hospital,1.510034140260729,0.4852983157293749,28.208666666666666
MNHS AQ Station,1.219990171637861,0.33303011442524055,22.044500000000003
"Quezon Rd, San Simon",1.2015909492034522,0.19191285502452382,41.372166666666665
Kalayaan Avenue  - South Avenue Intersection,1.1630470762871101,0.29509582863585115,22.040333333333333
NASA GSFC Rutgers Calib. N12,1.1062558920477956,0.2771817058096415,19.048333333333336
North Caloocan Nova Romania - Alora (download airgradient mobile app for realtime data),0.5484370037056643,0.0056246691371094615,4.0
Pinya Farm,0.5339528432732317,0.0026352288488210585,3.0
Near Sucat Interchange/Exit,0.0,0.3306698234191575,12.875
Pateros Bridge,0.0,0.29294747312082603,22.042166666666667
Old Wack Wack Road corner Shaw Boulevard,0.0,0.28313431362873775,22.050833333333333
"Near Katipunan Ave., Quezon City",0.0,0.2844383734370075,21.87366666666667
Ortigas,0.0,0.23014598030313616,18.791666666666668
"Monumento, Caloocan",0.0,0.28173506272591964,21.5425
Ortigas Avenue-Roosevelt Intersection,0.0,0.2857488507137672,22.045833333333334
Marikina Sports Complex,0.0,0.3009110021023126,22.041666666666668
Near Puregold Tayuman,0.0,0.4853962515459994,27.5405
3S Center Bagbaguin,0.0,0.28774579512577847,22.050333333333334
Mandaluyong Elementary School,0.0,0.2890812185223216,22.0505
President Roxas,0.0,0.025140977443609103,22.0
Rajah Sulayman Park,0.0,0.47355630135400995,27.540000000000003
STRC,0.0,0.037135278514588865,51.0
Samal Municipal Hall,0.0,0.24694080035277255,21.872166666666665
San Juan Mini Park,0.0,0.28819360748204215,22.045333333333335
San Sebastian Residences,0.0,0.482729089351984,27.540833333333335
Santa Clara - Pasay City General Hospital,0.0,0.2841477491342824,22.043833333333335
Sto. Rosario Bridge,0.0,0.2910827117677799,22.041999999999998
Tivoli,0.0,0.02652270860227668,48.0
Unnamed (DNVBA1576 → AL739RG7),0.0,0.28856536829926727,22.045
Valenzuela CENRO (ARCA North),0.0,0.29305488768290167,21.715833333333332
Valle1,0.0,0.03710054559625875,16.0
Manila Observatory,0.0,0.016174613673260785,67.0
Makati Avenue  - Antonio Arnaiz Avenue Intersection,0.0,0.2847042761714369,22.047833333333333
Mandaluyong City,0.0,0.31854072963518243,11.541666666666666
Malabon Action Center,0.0,0.28634575217370184,21.713833333333334
3S Center Ugong,0.0,0.29649279308887744,22.0405
ASMPH,0.0,0.18958887902987287,5.9046666666666665
Along Shaw Blvd.,0.0,0.33175728920409775,12.875333333333334
Anda Circle,0.0,0.4852521408182683,27.876166666666666
Aurora Boulevard (Tramo) - Andrews Avenue,0.0,0.28651603142843196,21.71466666666667
Ayala Ave.,0.0,0.4715703260355961,27.87366666666667
Barangay Buli - Concepcion Street,0.0,0.2840101654478502,22.0475
Barangay Fortune - Santan Street,0.0,0.2859526029144792,22.049500000000002
Barangay San Antonio - Parañaque-Sucat Road (Shopwise),0.0,0.28527803772841454,22.0505
Barangay San Rafael Hall,0.0,0.28731594649215664,22.044500000000003
Barangay Tambo - Quirino Avenue,0.0,0.28640327373702923,22.048333333333336
Barangay Tanza 2 Hall,0.0,0.28766006426550284,22.04416666666667
Barangay Tunasan - Maharlika Highway (SM Center Muntinlupa),0.0,0.28601549475335886,22.05
Bataan Tourism Park,0.0,0.3305406721870433,12.873666666666667
"Bo. Luz Barangay Hall, Limay",0.0,0.33206775700934577,13.206666666666667
Bradco Ave. cor Macapagal,0.0,0.29268968063503786,21.872
C3 Road (5th Avenue) - Rizal Avenue Extension,0.0,0.2952304571401614,22.041999999999998
Caloocan Sports Complex,0.0,0.28619017292901583,22.049666666666667
Demo Unit 1,0.0,0.21512287334593572,41.380833333333335
Demo Unit 2,0.0,0.17318518518518522,16.573666666666664
Gen. Luna St. corner Gov. Pascual Ave.,0.0,0.29438594137769136,22.0425
Illumina,0.0,0.033211105290728016,91.0
J.P. Rizal Avenue corner Camia,0.0,0.2852322738386308,22.048333333333336
J.P. Rizal Avenue corner Pertierra,0.0,0.2842428975885971,22.048000000000002
"Lamao, Limay",0.0,0.3318854886475815,12.875499999999999
3S Center Paso De Blas,0.0,0.28655660377358494,22.050333333333334
Makati Avenue - Buendia Avenue Intersection,0.0,0.2854277747884362,22.048833333333334
World Trade Center,0.0,0.28800936269815935,22.037166666666668
