station,cluster,n_bins,anomaly_count,anomaly_freq,anomaly_days_ratio,mean_anomaly_score,max_anomaly_score,train_loss,val_loss,n_train_windows,downtime_ratio,max_continuous_downtime_hours,total_downtime_hours,fft_energy,fft_max_amp,fft_spectral_entropy,model3_risk_score
Boni Serrano,A_high_freq,78732,605,0.007684296093075243,0.01004566210045662,1.0441802488671343,1.0733807476537034,0.007685780059546232,0.0025641436222940683,8000,0.5828106085616815,735.5386666666667,1845.0026666666672,9838505930.918255,5156.885230492756,9.002897529557522,0.699025062783304
Caloocan Sports Complex,B_candidate,78732,1384,0.017578621145150637,0.021917808219178082,1.0626177487681399,1.1157936518908496,0.008129128254950047,0.0052284663543105125,8000,0.28619017292901583,22.049666666666667,2003.707,152731110018.92352,39464.86640063961,8.867481393856249,0.6460360282786294
"Near Katipunan Ave., Quezon City",A_high_freq,78732,1323,0.016803840877914953,0.021004566210045664,1.0517233634222718,1.163721136071015,0.008714417926967144,0.005236934870481491,8000,0.2844383734370075,21.87366666666667,1018.8743333333334,14735753665.717299,8380.547678568537,8.413721203193061,0.6156592719875364
Bradco Ave. cor Macapagal,A_high_freq,78732,1162,0.014758929025046994,0.0182648401826484,1.077424197215986,1.231653232983919,0.011931496672332287,0.009387706406414509,8000,0.29268968063503786,21.872,1192.725333333333,18612743200.63405,10866.321646426537,8.428473253610692,0.5739780954451634
3S Center Bagbaguin,B_candidate,78732,1031,0.01309505664786872,0.015525114155251141,1.1152732175078437,1.1274892475721063,0.014776176773011684,0.010122817941009998,8000,0.28774579512577847,22.050333333333334,2007.6269999999997,110550770022.54913,30055.799621564725,8.919068178009088,0.5448139346981232
Aurora Boulevard (Tramo) - Andrews Avenue,B_candidate,78732,1001,0.012714017172179038,0.015525114155251141,1.0428669016394716,1.0780989262796308,0.0084811607375741,0.003582060569897294,8000,0.28651603142843196,21.71466666666667,2010.5653333333332,56089227190.43875,17469.43528068515,8.934381103554852,0.5326584580609147
Malabon Action Center,B_candidate,78732,946,0.012015444800081288,0.01643835616438356,1.0381524880161754,1.0902165582683168,0.004812274128198624,0.004583633504807949,8000,0.28634575217370184,21.713833333333334,2021.0589999999997,285605624156.5261,66641.96105833081,9.049909995397389,0.532183627709222
Barangay Tambo - Quirino Avenue,B_candidate,78732,952,0.012091652695219226,0.014611872146118721,1.031143161825653,1.0800281897514123,0.003910525236278772,0.003157246159389615,8000,0.28640327373702923,22.048333333333336,2011.2616666666665,63353939059.88243,22281.884390183597,9.05352942408306,0.519427693053469
Samal Municipal Hall,A_high_freq,78732,1015,0.012891835594167556,0.01643835616438356,1.0550575807752887,1.201191315878808,0.005015023052692413,0.004606443457305431,8000,0.24694080035277255,21.872166666666665,851.8826666666665,12024369566.812191,9609.47280740761,8.3522585832022,0.511429541119978
World Trade Center,B_candidate,78732,923,0.011723314535385866,0.0136986301369863,1.0353792683362981,1.107822397109998,0.004360534250736237,0.004553423263132572,8000,0.28800936269815935,22.037166666666668,1831.8845000000001,55637464956.916245,18131.873932342285,8.677984214256345,0.5000210294951608
Ortigas Avenue-Roosevelt Intersection,B_candidate,78732,897,0.011393080323121476,0.014611872146118721,1.02602119230538,1.06937230355647,0.002865638118237257,0.0016412953846156597,8000,0.2857488507137672,22.045833333333334,2021.3041666666666,79026276626.40755,21808.746176380846,8.591219971496342,0.497820263850106
Pateros Bridge,B_candidate,78732,860,0.010923131636437535,0.0136986301369863,1.0200470481193178,1.048001765434999,0.006430551875382662,0.001781404484063387,8000,0.29294747312082603,22.042166666666667,2111.471333333333,116615196659.44885,35552.85264710186,8.99018325218198,0.49712539306657844
Barangay Tanza 2 Hall,B_candidate,78732,813,0.010326169791190368,0.0136986301369863,1.0536450527732772,1.0992854623003507,0.011741770431399345,0.005881794262677431,8000,0.28766006426550284,22.04416666666667,2050.983333333333,197090773778.0596,37086.177829229964,9.180711618942732,0.4941386801751209
Barangay San Rafael Hall,B_candidate,78732,816,0.010364273738759335,0.0136986301369863,1.0229452705929618,1.0649597484865971,0.005062042735517025,0.0020320704206824303,8000,0.28731594649215664,22.044500000000003,2041.9583333333333,131578153390.56104,24542.08485283133,9.217765691263505,0.4924838833956235
Near Sucat Interchange/Exit,A_high_freq,78732,843,0.010707209266880048,0.011872146118721462,1.098392221155222,1.1085328104312993,0.012496385723352432,0.006435150280594826,8000,0.3306698234191575,12.875,1254.625,19427454731.174316,11863.613155847244,8.52161515870252,0.49116867479568943
Kalayaan Avenue  - South Avenue Intersection,B_candidate,78732,812,0.010313468475334044,0.011872146118721462,1.053259738990437,1.0689434678194834,0.006644663866609335,0.003410101169720292,8000,0.29509582863585115,22.040333333333333,2139.9089999999997,118197179719.07616,36723.24758521413,9.301706550868651,0.4871859627775505
Ayala Ave.,A_high_freq,78732,624,0.007925621094345374,0.0091324200913242,1.0228992788318607,1.166844418965686,0.007370606530457735,0.004495060537010431,8000,0.4715703260355961,27.87366666666667,1089.0800000000002,11114296536.928268,9760.025647489898,8.383307829168489,0.4867705739567407
Gen. Luna St. corner Gov. Pascual Ave.,B_candidate,78732,814,0.01033887110704669,0.011872146118721462,1.007016592235876,1.0423998264463805,0.0007617419469170272,0.0006117809098213911,8000,0.29438594137769136,22.0425,1494.1516666666662,155415771048.54092,26847.50309542135,9.233960799688777,0.4817707907507975
Near Puregold Tayuman,A_high_freq,78732,514,0.006528476350149875,0.00821917808219178,1.0656779148367288,1.1384061799801488,0.008837489411234856,0.0073404693976044655,8000,0.4853962515459994,27.5405,1859.9778333333336,28956232357.743443,14377.362912612607,8.797386552394936,0.4801844176351387
San Sebastian Residences,A_high_freq,78732,516,0.006553878981862521,0.00821917808219178,1.0316391140517132,1.067553704670632,0.01303186733275652,0.011419803835451603,8000,0.482729089351984,27.540833333333335,1850.1525000000004,25793096807.981876,13533.469073702112,8.826563850214852,0.4771264996781711
Mandaluyong Elementary School,B_candidate,78732,769,0.009767311893512168,0.011872146118721462,1.0586374942578354,1.0785155710392762,0.013240481726825237,0.004913773387670517,8000,0.2890812185223216,22.0505,2009.4988333333329,98037994603.73364,30134.66495738519,9.220067438685467,0.47526841856845
Barangay Buli - Concepcion Street,B_candidate,78732,791,0.010046740842351267,0.0136986301369863,1.0297774139275,1.0616277802213245,0.00453808531165123,0.0027469575870782137,8000,0.2840101654478502,22.0475,1878.434166666667,54125949011.270966,32617.268127173982,8.565976150600036,0.47129644419817485
Sto. Rosario Bridge,B_candidate,78732,757,0.009614896103236296,0.011872146118721462,1.0729407272265923,1.1048410533674367,0.012327897362411022,0.005896378308534622,8000,0.2910827117677799,22.041999999999998,2093.2166666666662,109393534332.05176,34236.3477549637,8.951759977877451,0.46885862499372905
J.P. Rizal Avenue corner Pertierra,B_candidate,78732,784,0.009957831631357009,0.011872146118721462,1.033587177579551,1.0746978725443723,0.004185800440609455,0.0025021792389452457,8000,0.2842428975885971,22.048000000000002,1995.8986666666667,69974030461.22485,27531.040454467107,8.982008532161649,0.4679356901077472
Sta. Ana Hospital,A_high_freq,78732,486,0.006172839506172839,0.0073059360730593605,1.0680314474092807,1.1488307094742087,0.00588097982108593,0.005075094290077686,8000,0.4852983157293749,28.208666666666666,1859.8386666666663,20269361161.034897,12405.002356304009,8.646529608123199,0.46554700584310277
Valenzuela CENRO (ARCA North),B_candidate,78732,779,0.009894325052075395,0.010958904109589041,1.0274950011148722,1.0862769300011719,0.0033977190032601357,0.003139700274914503,8000,0.29305488768290167,21.715833333333332,1461.616666666667,106688741603.93613,23309.678531303663,8.983914577501805,0.46417924805950045
Unnamed (DNVBA1576 → AL739RG7),B_candidate,78732,792,0.010059442158207591,0.011872146118721462,1.0369456489240505,1.0965637295694743,0.003285674611106515,0.002791970269754529,8000,0.28856536829926727,22.045,2049.2050000000004,114277378848.63889,28577.650808260198,8.659867435296741,0.4640437662897011
Anda Circle,A_high_freq,78732,484,0.006147436874460194,0.0073059360730593605,1.043958415062023,1.0867459536269126,0.004316066391766071,0.0019647255539894104,8000,0.4852521408182683,27.876166666666666,1860.6864999999996,22099491185.440968,13330.81215312079,8.687768231393138,0.46399974169065983
San Juan Mini Park,B_candidate,78732,772,0.009805415841081137,0.012785388127853882,1.028323455584755,1.0658880718330648,0.0022425821516662836,0.00242284731939435,8000,0.28819360748204215,22.045333333333335,2040.6666666666672,77903904746.89919,23122.59760915813,8.491001396867539,0.4616024528984067
Santa Clara - Pasay City General Hospital,B_candidate,78732,740,0.009398973733678808,0.010958904109589041,1.0384585141575107,1.056149435394449,0.0053345812484622,0.0024114898405969143,8000,0.2841477491342824,22.043833333333335,2019.967,199213856953.1921,60044.07655338252,9.203683882685493,0.4599275376607334
Barangay Fortune - Santan Street,B_candidate,78732,777,0.00986892242036275,0.011872146118721462,1.02809887680876,1.0712902409465108,0.003759147599339485,0.0024027503095567226,8000,0.2859526029144792,22.049500000000002,1999.0203333333336,90441426842.31895,33723.53025641992,8.638667190847773,0.458839469017489
Barangay San Antonio - Parañaque-Sucat Road (Shopwise),B_candidate,78732,788,0.0100086368947823,0.010958904109589041,1.0352641174440234,1.0941706142784005,0.0037051558028906584,0.0029091727919876575,8000,0.28527803772841454,22.0505,1990.4281666666661,42255891514.23857,22555.463364471314,8.805795245510675,0.458689981533904
Barangay Tunasan - Maharlika Highway (SM Center Muntinlupa),B_candidate,78732,795,0.010097546105776558,0.011872146118721462,1.0259712029687946,1.0637512964764921,0.0023107361048460007,0.0017938630189746618,8000,0.28601549475335886,22.05,1996.3,82508648685.94286,49566.94221815612,8.466652484444177,0.457804492060214
3S Center Ugong,B_candidate,78732,710,0.009017934257989128,0.010958904109589041,1.016024294119062,1.04345827625048,0.002800704911351204,0.0022887294180691242,8000,0.29649279308887744,22.0405,2152.2450000000003,127070469221.71854,26933.977170628994,8.99879283196262,0.45270642719817505
