station,lat,lon,city,province
313_Cubao,14.6227,121.0528,Quezon,NCR
3S Center Bagbaguin,14.71405,121.00088,Valenzuela,NCR
3S Center Paso De Blas,14.71071,120.99545,Valenzuela,NCR
3S Center Ugong,14.69397,121.00919,Valenzuela,NCR
ADB Courtyard (Demo),14.58828,121.05896,Mandaluyong,NCR
ASMPH,14.59083,121.07037,Pasig,NCR
Along Shaw Blvd.,14.57863,121.05675,Mandaluyong,NCR
Anda Circle,14.59064,120.97112,Manila,NCR
Aurora Boulevard (Tramo) - Andrews Avenue,14.52904,121.00472,Pasay,NCR
Ayala Ave.,14.55612,121.02236,Makati,NCR
Ayala MRT,14.5496,121.0285,Makati,NCR
Bacolod City Araneta-Hernaez Sts,10.6635921,122.9434386,Bacolod,Negros Occidental
Bacolod City San Juan-Gonzaga Sts,10.6694049,122.9453514,Bacolod,Negros Occidental
Barangay Buli - Concepcion Street,14.44481,121.04586,Muntinlupa,NCR
Barangay Fortune - Santan Street,14.66115,121.12476,Marikina,NCR
Barangay San Antonio - Parañaque-Sucat Road (Shopwise),14.45671,121.03519,Parañaque,NCR
Barangay San Rafael Hall,14.63666,120.96414,Navotas,NCR
Barangay Tambo - Quirino Avenue,14.51769,120.99638,Parañaque,NCR
Barangay Tanza 2 Hall,14.67508,120.93989,Navotas,NCR
Barangay Tunasan - Maharlika Highway (SM Center Muntinlupa),14.37853,121.04615,Muntinlupa,NCR
Bataan Tourism Park,14.67759,120.5182,Balanga,Bataan
Binangonan,14.5235999,121.1645249,Binangonan,Rizal
"Bo. Luz Barangay Hall, Limay",14.5507,120.5975,Limay,Bataan
Boni Serrano,14.61071,121.05484,Quezon,NCR
Bradco Ave. cor Macapagal,14.52917,120.98988,Parañaque,NCR
Brgy. Ambassador,16.49742018,120.6534127,Tublay,Benguet
"Brgy. Benedicto, Jaro, Iloilo",10.7258204,122.5580665,Iloilo,Iloilo
"Brgy. East Timawa, Molo",10.696736,122.5488203,Iloilo,Iloilo
Brgy. Infante,10.6941494,122.5551708,Iloilo,Iloilo
C3 Road (5th Avenue) - Rizal Avenue Extension,14.64443,120.98409,Caloocan,NCR
Caloocan Sports Complex,14.75097,121.02042,Caloocan,NCR
Central Philippine University,10.73146968,122.546953,Iloilo,Iloilo
DENR Compound Parola,10.69402521,122.580963,Iloilo,Iloilo
DLSU Laguna,14.26266,121.04338,Biñan,Laguna
"Daet, Camarines Norte (Roadside)",14.1157,122.9551,Daet,Camarines Norte
Demo Unit 1,14.58594,121.02932,Mandaluyong,NCR
Demo Unit 2,15.0247,120.68723,San Fernando,Pampanga
Demo Unit 4,15.19384,120.63862,Magalang,Pampanga
Gen. Luna St. corner Gov. Pascual Ave.,14.66963,120.94676,Malabon,NCR
Illumina,7.143752,125.625054,Davao,Davao del Sur
"Iloilo City, Augustine Grove Subd.",10.73536978,122.537027,Iloilo,Iloilo
J.P. Rizal Avenue corner Camia,14.56746,121.03929,Makati,NCR
J.P. Rizal Avenue corner Pertierra,14.56838,121.02845,Makati,NCR
Kalayaan Avenue  - South Avenue Intersection,14.5688,121.01795,Makati,NCR
"Lamao, Limay",14.515,120.609,Limay,Bataan
Lapu-Lapu City,10.32645,123.97871,Lapu-Lapu,Cebu
Las Pinas,14.437546,121.000088,Las Piñas,NCR
MNHS AQ Station,10.99814,125.64968,Guiuan ,Eastern Samar
Makati Avenue  - Antonio Arnaiz Avenue Intersection,14.5507,121.02221,Makati,NCR
Makati Avenue - Buendia Avenue Intersection,14.56127,121.02799,Makati,NCR
Malabon Action Center,14.66916,120.97576,Malabon,NCR
Mall of Asia Sensor,14.536036,120.985543,Pasay,NCR
Mandaluyong City,14.58455,121.01877,Manila,NCR
Mandaluyong Elementary School,14.58655,121.02549,Mandaluyong,NCR
Manila,14.57711,120.9778,Manila,NCR
Manila Observatory,14.6354,121.0779,Marikina,NCR
Marikina,14.65568,121.11149,Marikina,NCR
Marikina Sports Complex,14.6341,121.09803,Marikina,NCR
Mariveles Municipal Hall,14.436,120.4903,Mariveles,Bataan
"Monumento, Caloocan",14.65744,120.98362,Caloocan,NCR
NASA GSFC Rutgers Calib. N12,14.63525,121.07784,Marikina,NCR
"Near Katipunan Ave., Quezon City",14.63842,121.0767,Quezon,NCR
Near Puregold Tayuman,14.61825,120.97142,Manila,NCR
Near Sucat Interchange/Exit,14.45627,121.04569,Muntinlupa,NCR
North Caloocan Nova Romania - Alora (download airgradient mobile app for realtime data),14.7459495,121.0101457,Caloocan,NCR
Old Wack Wack Road corner Shaw Boulevard,14.58734,121.04665,Mandaluyong,NCR
Ortigas,14.58853,121.05822,Mandaluyong,NCR
Ortigas Avenue-Roosevelt Intersection,14.60346,121.04448,San Juan,NCR
Pasay Rotonda,14.53766,121.00039,Pasay,NCR
Pasay-Taft,14.5377,121.00094,Pasay,NCR
Pateros Bridge,14.5457,121.06514,Taguig,NCR
Pinya Farm,14.143177,120.984941,Silang,Cavite
President Roxas,11.43032,122.926229,President Roxas,Capiz
"Quezon Rd, San Simon",15.00045,120.7505,San Simon,Pampanga
Quezon Road,14.99976,120.75153,San Simon,Pampanga
Rajah Sulayman Park,14.569,120.98366,Manila,NCR
Ramon Avancena High School,14.593565,120.989459,Manila,NCR
Robinson's Equitable Tower (Indoor),14.58944,121.05978,Pasig,NCR
STRC,14.56637518,120.9922368,Manila,NCR
Samal Municipal Hall,14.76944,120.54278,Samal,Bataan
"San Antonio, Los Banos, Laguna (Residential)",14.17488,121.24649,Los Baños,Laguna
San Juan Mini Park,14.60399,121.02781,San Juan,NCR
San Sebastian Residences,14.59871,120.98947,Manila,NCR
Santa Clara - Pasay City General Hospital,14.54848,121.00053,Pasay,NCR
Sensor 1,14.5688,121.0827,Pasig,NCR
"South Triangle, Quezon City",14.639479,121.032469,Quezon,NCR
Sta. Ana Hospital,14.58385,121.01645,Manila,NCR
Sto. Rosario Bridge,14.54939,121.07264,Pateros,NCR
Tagaytay (Neogan 2),14.098141,120.892358,Tagaytay,NCR
Tagaytay (Neogan),14.095018,120.895382,Tagaytay,NCR
Timoteo Paez Integrated High School,14.630765,120.967483,Manila,NCR
Tivoli,14.676664,121.095814,Quezon,NCR
Unnamed (DNVBA1576 → AL739RG7),14.56383,121.05797,Taguig,NCR
Valenzuela,14.688555,120.970708,Valenzuela,NCR
Valenzuela CENRO (ARCA North),14.69158,120.97246,Valenzuela,NCR
Valle1,14.576655,121.070464,Pasig,NCR
World Trade Center,14.55157,120.98649,Pasay,NCR
pasay city,14.558248,120.993386,Pasay,NCR
