station,lat,datetime_utc,pm25 in µg/m^3,lon,city,province,population,area_in_sq.km,density_persons/sqkm
313_Cubao,14.6227,2025-09-30 07:00:00+00:00,19.65199998219808,121.0528,Quezon,NCR,"14,001,751",619.54,"21,765"
313_Cubao,14.6227,2025-09-30 22:00:00+00:00,52.5,121.0528,Quezon,NCR,"14,001,751",619.54,"21,765"
313_Cubao,14.6227,2025-09-30 23:00:00+00:00,41.96568121476607,121.0528,Quezon,NCR,"14,001,751",619.54,"21,765"
313_Cubao,14.6227,2025-10-01 00:00:00+00:00,30.94866681893667,121.0528,Quezon,NCR,"14,001,751",619.54,"21,765"
313_Cubao,14.6227,2025-10-01 01:00:00+00:00,30.113638904359604,121.0528,Quezon,NCR,"14,001,751",619.54,"21,765"
313_Cubao,14.6227,2025-10-01 02:00:00+00:00,21.787083355585736,121.0528,Quezon,NCR,"14,001,751",619.54,"21,765"
313_Cubao,14.6227,2025-10-01 03:00:00+00:00,7.477499997946952,121.0528,Quezon,NCR,"14,001,751",619.54,"21,765"
313_Cubao,14.6227,2025-10-01 04:00:00+00:00,0.033333333581686,121.0528,Quezon,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-19 18:01:39+00:00,11.12,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-19 18:18:38+00:00,14.86,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-19 18:35:37+00:00,22.88,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-19 18:52:37+00:00,13.29,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-19 20:00:36+00:00,20.29,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-19 20:17:35+00:00,20.64,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-19 20:34:35+00:00,20.03,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-19 20:51:34+00:00,18.58,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-19 21:59:31+00:00,27.59,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-19 22:16:30+00:00,25.77,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-19 22:33:29+00:00,32.79,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
3S Center Bagbaguin,14.71405,2025-06-19 22:50:28+00:00,36.71,121.00088,Valenzuela,NCR,"14,001,751",619.54,"21,765"
