station,cluster,n_bins,anomaly_count,anomaly_freq,anomaly_days_ratio,mean_anomaly_score,max_anomaly_score,train_loss,val_loss,n_train_windows,downtime_ratio,max_continuous_downtime_hours,total_downtime_hours,fft_energy,fft_max_amp,fft_spectral_entropy,rmse_20min,rmse_1h,predicted_risk_score,health_tier
Boni Serrano,A_high_freq,78732,378,0.004801097393689987,0.006392694063926941,1.086584816560614,1.1034583760228165,0.01291766669601202,0.006291395053267479,8000,0.5828106085616815,735.5386666666667,1845.0026666666672,9838505930.918255,5156.885230492756,9.002897529557522,0.0,3.1275456431187756,0.6485730171957135,CRITICAL_OFFLINE
Ortigas Avenue-Roosevelt Intersection,B_candidate,78732,1285,0.01632119087537469,0.02009132420091324,1.0440811454877241,1.0776223843511898,0.01196554210036993,0.002682324731722474,8000,0.2857488507137672,22.045833333333334,2021.3041666666666,79026276626.40755,21808.746176380846,8.591219971496342,0.0,3.898711061286138,0.6398900903997122,CRITICAL_OFFLINE
Malabon Action Center,B_candidate,78732,987,0.01253619875019052,0.015525114155251141,1.031950437137283,1.0874253803211469,0.0067047178745269775,0.00444105314090848,8000,0.28634575217370184,21.713833333333334,2021.0589999999997,285605624156.5261,66641.96105833081,9.049909995397389,0.0,11.797063089569832,0.5587012808272109,CRITICAL_OFFLINE
Barangay Tunasan - Maharlika Highway (SM Center Muntinlupa),B_candidate,78732,1044,0.013260173754000914,0.015525114155251141,1.0396013676852602,1.070322416978508,0.008542186580598354,0.0031537029426544905,8000,0.28601549475335886,22.05,1996.3,82508648685.94286,49566.94221815612,8.466652484444177,0.0,4.966031177496491,0.5556760795011907,CRITICAL_OFFLINE
Old Wack Wack Road corner Shaw Boulevard,B_candidate,78732,1013,0.01286643296245491,0.014611872146118721,1.0828895662831677,1.0972863735880323,0.013952088542282581,0.005664889235049486,8000,0.28313431362873775,22.050833333333333,1971.2483333333332,80810955535.39796,20770.102264745175,8.522328340481975,0.0,3.3765273631887673,0.5467634381333105,CRITICAL_OFFLINE
Marikina Sports Complex,B_candidate,78732,937,0.011901132957374385,0.0136986301369863,1.066321740354009,1.088039413221823,0.009492810815572739,0.006960383150726557,8000,0.3009110021023126,22.041666666666668,2178.2083333333335,105066762537.95624,27231.096449715526,8.789375094620922,0.0,5.107670548437504,0.5377997198182206,CRITICAL_OFFLINE
Bradco Ave. cor Macapagal,A_high_freq,78732,931,0.011824925062236447,0.015525114155251141,1.0571796143823642,1.231416876863882,0.006738754455000162,0.006824309006333351,8000,0.29268968063503786,21.872,1192.725333333333,18612743200.63405,10866.321646426537,8.428473253610692,0.0,2.381637334918285,0.5369269222065849,CRITICAL_OFFLINE
MNHS AQ Station,B_candidate,78732,717,0.009106843468983387,0.012785388127853882,1.0130422041280107,1.0492178803942833,0.00417145574465394,0.0017611332004889846,8000,0.33303011442524055,22.044500000000003,2370.940666666667,110465040082.20767,17840.912798282046,9.825150575281526,0.0,9.713016190390976,0.5219605263307443,CRITICAL_OFFLINE
Barangay San Rafael Hall,B_candidate,78732,793,0.010072143474063914,0.0136986301369863,1.019648764552577,1.0500369259904443,0.0019552349112927914,0.0014645237242802978,8000,0.28731594649215664,22.044500000000003,2041.9583333333333,131578153390.56104,24542.08485283133,9.217765691263505,0.0,7.694932129373491,0.5100767550767251,CRITICAL_OFFLINE
Barangay San Antonio - Parañaque-Sucat Road (Shopwise),B_candidate,78732,818,0.010389676370471982,0.0136986301369863,1.0404031114844963,1.0919168485744666,0.004687863867729902,0.003078768029808998,8000,0.28527803772841454,22.0505,1990.4281666666661,42255891514.23857,22555.463364471314,8.805795245510675,0.0,3.916437794025469,0.5057363718959543,CRITICAL_OFFLINE
