station,cluster,n_bins,anomaly_count,anomaly_freq,anomaly_days_ratio,mean_anomaly_score,max_anomaly_score,train_loss,val_loss,n_train_windows
3S Center Bagbaguin,B_candidate,78732,750,0.009525986892242036,0.010958904109589041,1.0296123849948318,1.0788577859870923,0.008692249655723572,0.005613090004771948,8000
3S Center Paso De Blas,B_candidate,78732,736,0.009348168470253519,0.010958904109589041,1.0278414571730141,1.0714337005523762,0.004715146031230688,0.0020154376979917288,8000
3S Center Ugong,B_candidate,78732,717,0.009106843468983387,0.010958904109589041,1.018177473945713,1.0436925028931672,0.007998890243470669,0.003941381350159645,8000
ASMPH,A_high_freq,78732,791,0.010046740842351267,0.011872146118721462,1.0496058764689915,1.1026387390855978,0.0061624436639249325,0.0020228063222020864,8000
Along Shaw Blvd.,A_high_freq,78732,676,0.008586089518874155,0.01004566210045662,1.0539837821090565,1.118180686485737,0.004374580457806587,0.003753914264962077,8000
Anda Circle,A_high_freq,78732,484,0.006147436874460194,0.0073059360730593605,1.0439560114275086,1.086717296413604,0.011328831315040588,0.008803777396678925,8000
Aurora Boulevard (Tramo) - Andrews Avenue,B_candidate,78732,801,0.010173754000914494,0.011872146118721462,1.03340928993256,1.0722526358090763,0.0022913238499313593,0.0017834637546911836,8000
Ayala Ave.,A_high_freq,78732,624,0.007925621094345374,0.0091324200913242,1.0229356492173205,1.1668771354860568,0.011001608334481716,0.009002226404845715,8000
Barangay Buli - Concepcion Street,B_candidate,78732,655,0.008319361885891378,0.01004566210045662,1.0647912254631637,1.0802023010708752,0.010952805168926716,0.0050476305186748505,8000
Barangay Fortune - Santan Street,B_candidate,78732,778,0.009881623736219073,0.011872146118721462,1.0256060944808405,1.0694978925668566,0.004749173764139414,0.00294308690354228,8000
Barangay San Antonio - Parañaque-Sucat Road (Shopwise),B_candidate,78732,818,0.010389676370471982,0.0136986301369863,1.0404031114844963,1.0919168485744666,0.004687863867729902,0.003078768029808998,8000
Barangay San Rafael Hall,B_candidate,78732,793,0.010072143474063914,0.0136986301369863,1.019648764552577,1.0500369259904443,0.0019552349112927914,0.0014645237242802978,8000
Barangay Tambo - Quirino Avenue,B_candidate,78732,782,0.009932428999644364,0.010958904109589041,1.0414376936436383,1.081438345924843,0.0046331691555678844,0.003427795832976699,8000
Barangay Tanza 2 Hall,B_candidate,78732,681,0.008649596098155769,0.010958904109589041,1.0982034306065929,1.127387661132636,0.01152719184756279,0.007450987119227648,8000
Barangay Tunasan - Maharlika Highway (SM Center Muntinlupa),B_candidate,78732,1044,0.013260173754000914,0.015525114155251141,1.0396013676852602,1.070322416978508,0.008542186580598354,0.0031537029426544905,8000
Bataan Tourism Park,A_high_freq,78732,684,0.008687700045724738,0.010958904109589041,1.091590128429239,1.093645937407136,0.011015918105840683,0.005005601793527603,8000
"Bo. Luz Barangay Hall, Limay",A_high_freq,78732,615,0.007811309251638469,0.0091324200913242,1.0557396498252234,1.0954231911562107,0.003206126391887665,0.0030207079835236073,8000
Boni Serrano,A_high_freq,78732,378,0.004801097393689987,0.006392694063926941,1.086584816560614,1.1034583760228165,0.01291766669601202,0.006291395053267479,8000
Bradco Ave. cor Macapagal,A_high_freq,78732,931,0.011824925062236447,0.015525114155251141,1.0571796143823642,1.231416876863882,0.006738754455000162,0.006824309006333351,8000
Brgy. Ambassador,C_hourly,78732,883,0.011215261901132957,0.0136986301369863,1.0323569504781527,1.057660932488152,0.010140401311218739,0.0020483513362705708,8000
