station,n_records,median_gap_min,p75_gap_min,p90_gap_min,p95_gap_min,mean_gap_min
313_Cubao,7,60.0,60.0,396.0,648.0,180.0
3S Center Bagbaguin,16999,16.98,17.02,17.13,67.98,23.99
3S Center Paso De Blas,16999,16.98,17.02,17.1,67.97,23.94
3S Center Ugong,16999,17.57,17.62,17.68,70.3,25.06
ADB Courtyard (Demo),95,5.58,5.6,5.6,61.48,1380.6
ASMPH,8999,5.72,5.72,5.8,5.82,7.51
Along Shaw Blvd.,16999,7.48,7.52,7.58,7.6,11.94
Anda Circle,13238,7.43,7.47,7.53,59.45,15.88
Aurora Boulevard (Tramo) - Andrews Avenue,16999,17.12,17.15,17.23,68.5,24.11
Ayala Ave.,8146,7.58,7.58,7.6,60.37,15.59
Ayala MRT,143,60.0,60.0,60.0,120.0,88.11
Bacolod City Araneta-Hernaez Sts,373,60.0,60.0,60.0,60.0,89.28
Bacolod City San Juan-Gonzaga Sts,106,60.0,270.0,810.0,1110.0,292.64
Barangay Buli - Concepcion Street,15999,17.15,17.23,17.25,68.6,24.1
Barangay Fortune - Santan Street,16999,17.03,17.05,17.15,68.12,23.98
Barangay San Antonio - Parañaque-Sucat Road (Shopwise),16999,16.97,17.0,17.07,67.88,23.89
Barangay San Rafael Hall,16999,17.33,17.38,17.45,69.37,24.45
Barangay Tambo - Quirino Avenue,16999,17.1,17.12,17.23,68.4,24.15
Barangay Tanza 2 Hall,16999,17.35,17.38,17.47,69.43,24.53
Barangay Tunasan - Maharlika Highway (SM Center Muntinlupa),16999,17.0,17.03,17.17,68.0,23.99
Bataan Tourism Park,16999,7.58,7.62,7.67,7.78,12.08
Binangonan,2354,60.0,60.0,60.0,60.0,111.77
"Bo. Luz Barangay Hall, Limay",16999,7.6,7.62,7.7,7.72,12.08
Boni Serrano,9228,7.68,7.7,7.72,8.16,19.69
Bradco Ave. cor Macapagal,16999,7.68,7.72,17.52,17.57,12.75
Brgy. Ambassador,8823,60.0,60.0,60.0,60.0,65.75
"Brgy. Benedicto, Jaro, Iloilo",14046,60.0,60.0,60.0,60.0,63.86
"Brgy. East Timawa, Molo",203,60.0,60.0,60.0,60.0,62.36
Brgy. Infante,10578,60.0,60.0,60.0,60.0,70.86
C3 Road (5th Avenue) - Rizal Avenue Extension,16999,17.48,17.53,17.58,69.98,24.94
Caloocan Sports Complex,16999,17.02,17.05,17.13,68.12,24.02
Central Philippine University,15547,60.0,60.0,60.0,60.0,70.37
DENR Compound Parola,2,60.0,60.0,60.0,60.0,60.0
DLSU Laguna,25,60.0,60.0,60.0,60.0,60.0
"Daet, Camarines Norte (Roadside)",498,60.0,60.0,60.0,840.0,207.95
Demo Unit 1,9628,17.15,17.15,17.23,41.49,21.97
Demo Unit 2,16999,5.58,7.5,7.5,7.6,7.94
Demo Unit 4,7031,5.72,5.83,5.85,14.58,12.07
Gen. Luna St. corner Gov. Pascual Ave.,11994,17.45,17.5,17.57,69.88,24.86
Illumina,6151,60.0,60.0,60.0,60.0,62.07
"Iloilo City, Augustine Grove Subd.",16227,60.0,60.0,60.0,60.0,72.86
