station,cluster,n_records,active_hours,coverage_20min,coverage_1h,gain_20min_over_1h
313_Cubao,C_hourly,8,21.0,0.125,0.36363636363636365,-0.23863636363636365
3S Center Bagbaguin,B_candidate,17000,6797.431666666666,0.7122542048742215,0.7633127390408944,-0.05105853416667283
3S Center Paso De Blas,B_candidate,17000,6783.42,0.7134433962264151,0.7638909358879882,-0.050447539661573115
3S Center Ugong,B_candidate,17000,7099.540555555555,0.7035072069111226,0.7502816901408451,-0.04677448322972255
ADB Courtyard (Demo),A_high_freq,96,2185.9575,0.0050312547644458,0.007773205304069501,-0.0027419505396237016
ASMPH,A_high_freq,9000,1126.7733333333333,0.8104111209701271,0.901595744680851,-0.09118462371072389
Along Shaw Blvd.,A_high_freq,17000,3383.6358333333333,0.6682427107959023,0.7878877400295421,-0.11964502923363984
Anda Circle,A_high_freq,13239,3503.0197222222223,0.5147478591817317,0.6478310502283106,-0.13308319104657884
Aurora Boulevard (Tramo) - Andrews Avenue,B_candidate,17000,6830.164444444445,0.713483968571568,0.7632850241545893,-0.04980105558302128
Ayala Ave.,A_high_freq,8147,2116.0363888888887,0.5284296739644039,0.6580066131317903,-0.12957693916738644
Ayala MRT,C_hourly,144,210.0,0.22820919175911253,0.6824644549763034,-0.45425526321719084
Bacolod City Araneta-Hernaez Sts,C_hourly,374,555.0,0.22448979591836735,0.6726618705035972,-0.4481720745852298
Bacolod City San Juan-Gonzaga Sts,C_hourly,107,517.0,0.06894329896907217,0.20656370656370657,-0.1376204075946344
Barangay Buli - Concepcion Street,B_candidate,16000,6426.793888888889,0.7159898345521498,0.765520460557025,-0.04953062600487523
Barangay Fortune - Santan Street,B_candidate,17000,6793.359444444444,0.7140473970855208,0.7640912435614422,-0.050043846475921416
Barangay San Antonio - Parañaque-Sucat Road (Shopwise),B_candidate,17000,6767.461944444444,0.7147219622715855,0.7652186761229315,-0.05049671385134602
Barangay San Rafael Hall,B_candidate,17000,6926.923611111111,0.7126840535078434,0.7615473441108545,-0.04886329060301109
Barangay Tambo - Quirino Avenue,B_candidate,17000,6842.1866666666665,0.7135967262629708,0.7638462662574894,-0.050249539994518644
Barangay Tanza 2 Hall,B_candidate,17000,6949.941944444445,0.7123399357344972,0.762192490289167,-0.04985255455466986
Barangay Tunasan - Maharlika Highway (SM Center Muntinlupa),B_candidate,17000,6797.614444444444,0.7139845052466411,0.7670245624356523,-0.05304005718901117
Bataan Tourism Park,A_high_freq,17000,3421.529722222222,0.6694593278129567,0.7887200467562828,-0.11926071894332613
Binangonan,C_hourly,2355,4385.0,0.17900577683186378,0.5369357045143639,-0.3579299276825001
"Bo. Luz Barangay Hall, Limay",A_high_freq,17000,3423.718611111111,0.6679322429906542,0.7815420560747663,-0.11360981308411211
Boni Serrano,A_high_freq,9229,3028.5466666666666,0.41718939143831846,0.4864686468646865,-0.06927925542636804
Bradco Ave. cor Macapagal,A_high_freq,17000,3611.0244444444443,0.7073103193649621,0.7929125138427464,-0.08560219447778428
Brgy. Ambassador,C_hourly,8824,9669.0,0.3041919470490899,0.9125129265770424,-0.6083209795279525
"Brgy. Benedicto, Jaro, Iloilo",C_hourly,14047,14949.0,0.3132135212272565,0.9395986622073579,-0.6263851409801013
"Brgy. East Timawa, Molo",C_hourly,204,211.0,0.3217665615141956,0.9622641509433962,-0.6404975894292007
Brgy. Infante,C_hourly,10579,12493.0,0.2822572038420491,0.8467264286857692,-0.5644692248437201
C3 Road (5th Avenue) - Rizal Avenue Extension,B_candidate,17000,7065.402777777777,0.7047695428598386,0.7526531767369463,-0.0478836338771077
Caloocan Sports Complex,B_candidate,17000,6803.9775,0.7138098270709842,0.7642909625275532,-0.05048113545656907
